t,x,y,z,roll,pitch,yaw,vx,vy,vz,wx,wy,wz
0.244000,0.04000812,0.00000941,0.51093364,0.00001365,-0.01351758,0.00001145,0.18982826,-0.00002548,0.01559443,-0.00021880,0.18497359,-0.00010741
0.246000,0.04038771,0.00000935,0.51096500,0.00001322,-0.01314821,0.00001124,0.18970401,-0.00002729,0.01594043,-0.00021988,0.18379757,-0.00010757
0.248000,0.04076706,0.00000930,0.51099705,0.00001279,-0.01278125,0.00001104,0.18958469,-0.00002911,0.01628696,-0.00022087,0.18250308,-0.00010760
0.250000,0.04114617,0.00000924,0.51102980,0.00001235,-0.01241693,0.00001083,0.18947035,-0.00003094,0.01663383,-0.00022178,0.18110659,-0.00010751
0.252000,0.04152506,0.00000918,0.51106324,0.00001191,-0.01205544,0.00001063,0.18936096,-0.00003276,0.01698085,-0.00022259,0.17962297,-0.00010731
0.254000,0.04190372,0.00000911,0.51109738,0.00001147,-0.01169697,0.00001042,0.18925645,-0.00003458,0.01732784,-0.00022331,0.17806557,-0.00010701
0.256000,0.04228219,0.00000904,0.51113221,0.00001103,-0.01134164,0.00001022,0.18915672,-0.00003641,0.01767462,-0.00022395,0.17644634,-0.00010661
0.258000,0.04266045,0.00000897,0.51116773,0.00001059,-0.01098958,0.00001002,0.18906164,-0.00003823,0.01802102,-0.00022450,0.17477596,-0.00010612
0.260000,0.04303853,0.00000889,0.51120394,0.00001015,-0.01064088,0.00000981,0.18897105,-0.00004005,0.01836686,-0.00022497,0.17306390,-0.00010554
0.262000,0.04341643,0.00000881,0.51124085,0.00000970,-0.01029562,0.00000961,0.18888479,-0.00004187,0.01871199,-0.00022535,0.17131857,-0.00010488
0.264000,0.04379416,0.00000872,0.51127845,0.00000926,-0.00995386,0.00000941,0.18880269,-0.00004369,0.01905625,-0.00022565,0.16954736,-0.00010414
0.266000,0.04417172,0.00000864,0.51131673,0.00000881,-0.00961566,0.00000921,0.18872458,-0.00004551,0.01939948,-0.00022588,0.16775678,-0.00010334
0.268000,0.04454913,0.00000854,0.51135570,0.00000836,-0.00928105,0.00000901,0.18865028,-0.00004732,0.01974152,-0.00022602,0.16595248,-0.00010247
0.270000,0.04492640,0.00000845,0.51139535,0.00000792,-0.00895005,0.00000881,0.18857962,-0.00004913,0.02008223,-0.00022609,0.16413940,-0.00010155
0.272000,0.04530352,0.00000835,0.51143569,0.00000747,-0.00862268,0.00000861,0.18851245,-0.00005093,0.02042146,-0.00022608,0.16232178,-0.00010056
0.274000,0.04568052,0.00000825,0.51147670,0.00000702,-0.00829895,0.00000842,0.18844859,-0.00005273,0.02075906,-0.00022599,0.16050323,-0.00009953
0.276000,0.04605738,0.00000814,0.51151839,0.00000657,-0.00797885,0.00000823,0.18838789,-0.00005453,0.02109491,-0.00022584,0.15868684,-0.00009845
